gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
u	unknown	People's Vote UK	People's Vote	748608695327755	Facebook	3177	1	1479187	517251	23474	4210
u	unknown	Britain's Future	Britain's Future	1625300137516491	Facebook	3997	1	1165461	348703	14182	1994
u	unknown	European Parliament		178362315106	Facebook	1715	1	1013158	446045	6139	1507
u	unknown	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2166	1	896316	300576	11487	1120
u	unknown	Kialo		729627343834501	Facebook	729	1	851414	337979	6367	1596
u	unknown	Best For Britain	Best for Britain	1863944713844924	Facebook	740	1	606062	255568	8237	1969
u	unknown	38 Degrees	38 Degrees	200006375787	Facebook	631	1	474025	172044	3321	484
u	unknown	Podemos	Unidas Podemos	269212336568846	Facebook	295	1	471291	212525	2904	766
u	unknown	The Labour Party	The Labour Party	25749647410	Facebook	605	1	439474	169889	3886	795
u	unknown	Conservatives	The Conservative Party	8807334278	Facebook	1261	1	409557	154938	5494	735
u	unknown	Ciudadanos	Ciudadanos	74078667754	Facebook	3502	1	363706	111241	3686	274
u	unknown	Greenpeace France		39435457457	Facebook	119	1	324285	145050	1583	368
u	unknown	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	317626	116607	893	119
u	unknown	Sosialidemokraatit SDP		108945982480217	Facebook	305	1	264660	102778	1643	357
u	unknown	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	539	1	255987	91210	3559	597
u	unknown	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	619	1	250083	90230	5069	897
u	unknown	Plan International Sverige		382243262003	Facebook	306	1	236142	76684	1871	453
u	unknown	Partido Popular	Partido Popular	72249031214	Facebook	1503	1	214791	82543	1314	199
u	unknown	European Greens	European Greens	141366725876424	Facebook	88	1	202114	90060	1580	386
u	unknown	The Brexit Party	The Brexit Party	230416667843105	Facebook	83	1	181941	85673	2520	718
u	unknown	Right To Vote	Right to Vote	408236463256774	Facebook	350	1	153600	39043	1333	192
u	unknown	Médecins du Monde France		265420476920	Facebook	679	1	137996	43058	2314	159
u	unknown	sp.a	sp.a	57253967150	Facebook	400	1	135828	54909	610	136
u	unknown	Amnesty International UK		7624294394	Facebook	83	1	131513	57276	1296	422
u	unknown	Scientists for EU	Scientists for EU	642444842524195	Facebook	62	1	127065	41105	856	144
u	unknown	SPD	SPD	47930567748	Facebook	1857	1	115972	37106	2036	166
u	unknown	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	132	1	115764	40967	787	167
u	unknown	Greenpeace España	Greenpeace España	133044800622	Facebook	163	1	110234	39975	347	47
u	unknown	Venstre, Danmarks Liberale Parti		21465928829	Facebook	331	1	105739	35782	795	203
u	unknown	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	176	1	103730	41912	379	69
u	unknown	Greenpeace Deutschland		22541752487	Facebook	359	1	101633	35333	705	89
u	unknown	Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	127	1	99761	42299	409	75
u	unknown	European Commission		107898832590939	Facebook	92	1	95945	43592	504	131
u	unknown	Fotografiska Stockholm		142320852554	Facebook	10	1	86216	37677	61	14
u	unknown	Oxfam Great Britain	Oxfam GB	7214031395	Facebook	69	1	85387	30747	1339	285
u	unknown	SPÖ	SPÖ	77393060080	Facebook	580	1	84364	27294	668	81
u	unknown	Kyriakos Mitsotakis		34848567724	Facebook	77	1	84153	36061	204	42
u	unknown	London Labour Party	The London Labour Party 	474613052643462	Facebook	83	1	83085	31533	1101	228
u	unknown	Greenpeace UK	Greenpeace UK 	9250349228	Facebook	126	1	80833	29426	663	129
u	unknown	Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	307	1	80360	22465	509	114
u	unknown	CDU	CDU	78502295414	Facebook	2110	1	80065	18963	635	17
u	unknown	Sign for my Future		1345513882259768	Facebook	71	1	79622	35592	517	129
u	unknown	Guardian Weekly		64525551258	Facebook	30	1	79559	32042	408	93
u	unknown	Humble Household		1746853745395190	Facebook	41	1	78333	32021	813	226
u	unknown	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	345	1	77937	26604	693	102
u	unknown	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	114	1	76491	31620	262	67
