week_code_filter	week_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w018	Week 18	European Parliament		178362315106	Facebook	276	1	63160091	29152424	335764	98874
w018	Week 18	CDU	CDU	78502295414	Facebook	3170	1	19323915	4637500	173515	4150
w018	Week 18	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	41	1	13784476	6426229	39729	11181
w018	Week 18	AMERISOFT SRL		AR573801583431647232	Google	122	1	11505987	1138411	2266	0
w018	Week 18	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1460	1	11401766	402669	38888	0
w018	Week 18	mmb media agentur d.o.o.		AR524572049809604608	Google	746	1	9372329	394285	27918	0
w018	Week 18	Greenpeace France		39435457457	Facebook	15	1	8651985	4060000	40185	9200
w018	Week 18	SPD	SPD	47930567748	Facebook	1982	1	8013876	1805428	218997	6664
w018	Week 18	sp.a	sp.a	57253967150	Facebook	155	1	7656431	3389093	35545	8748
w018	Week 18	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	36	1	7618635	3590775	22953	5314
w018	Week 18	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	83	1	7404550	3071775	21009	5634
w018	Week 18	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	120	1	6700595	609666	4912	0
w018	Week 18	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	28	1	6699904	2891442	63186	14240
w018	Week 18	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	398	1	6696664	483870	11551	0
w018	Week 18	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	241	1	6500789	2637900	32386	6383
w018	Week 18	The Brexit Party	The Brexit Party	230416667843105	Facebook	42	1	5982356	2796843	102100	28765
w018	Week 18	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	14	1	5732817	2727543	17344	8146
w018	Week 18	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	15	1	5191659	2425000	21075	4941
w018	Week 18	Vlaams Belang	Vlaams Belang	56605856504	Facebook	13	1	5189204	2334607	27184	6989
w018	Week 18	Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	10	1	5184990	2470000	7290	1453
w018	Week 18	The Labour Party	The Labour Party	25749647410	Facebook	64	1	5182209	1986333	48389	11093
w018	Week 18	România în primul rând	Future Innovation	770704223323599	Facebook	26	1	4575171	2113344	4926	1233
w018	Week 18	FDP	FDP	21289227249	Facebook	245	1	4548234	1434727	22067	2596
w018	Week 18	Fidesz	Fidesz	9844779306	Facebook	20	1	4499980	2100000	12999	6345
w018	Week 18	Greenpeace España	Greenpeace España	133044800622	Facebook	111	1	4344889	1358000	15389	1100
