advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	45_54	45-54	39	1	1610943	701791	8572	2422
CDU	CDU	78502295414	Facebook	45_54	45-54	4845	1	1585841	282749	56696	0
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	45_54	45-54	21	1	776832	353145	2638	772
Fidesz	Fidesz	9844779306	Facebook	45_54	45-54	18	1	662856	304592	2964	1323
FDP	FDP	21289227249	Facebook	45_54	45-54	837	1	432063	72577	12299	46
Gouvernement	Gouvernement	392341217527576	Facebook	45_54	45-54	10	1	385606	156401	974	248
Conservatives	The Conservative Party	8807334278	Facebook	45_54	45-54	719	1	380861	60887	17371	48
Avaaz	Avaaz	8340223883	Facebook	45_54	45-54	10	1	355137	138731	830	224
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	45_54	45-54	756	1	276529	52406	8968	33
INBOX	New Digital Media	369693523475596	Facebook	45_54	45-54	14	1	272375	116668	431	37
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	45_54	45-54	5	1	258335	108100	612	133
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	45_54	45-54	3	1	256711	102796	2566	511
The Labour Party	The Labour Party	25749647410	Facebook	45_54	45-54	10	1	254078	109558	1976	658
Vlaams Belang	Vlaams Belang	56605856504	Facebook	45_54	45-54	9	1	245540	122407	3173	1221
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	45_54	45-54	54	1	221449	77649	606	192
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	45_54	45-54	34	1	199473	72775	698	85
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	45_54	45-54	31	1	198830	51673	2412	492
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	45_54	45-54	21	1	194587	83680	3816	788
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	45_54	45-54	3	1	185710	92855	1002	245
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	45_54	45-54	362	1	181614	696	17721	0
Jobbik Magyarországért Mozgalom	Országgyűlés Hivatala Jobbik Frakció	287770891404	Facebook	45_54	45-54	3	1	181048	75757	389	194
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	45_54	45-54	19	1	174984	71454	631	168
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	45_54	45-54	5	1	156134	64649	2288	448
SPÖ	SPÖ	77393060080	Facebook	45_54	45-54	25	1	151307	50057	1747	312
Open Vld	Open Vld	53668151866	Facebook	45_54	45-54	29	1	147615	48776	1113	159
