advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Gouvernement	Gouvernement	392341217527576	Facebook	50_100	50 - 100	FR	France	16	1	2832	855	4	0
Cogito	Cogito	2059332547662115	Facebook	50_100	50 - 100	FR	France	1	1	311	155	0	0
VoteEuropa - France	Jules Nicolas André Bejot 	2031732090462417	Facebook	50_100	50 - 100	FR	France	2	1	46	18	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	50_100	50 - 100	FR	France	1	1	15	3	0	0
Soutien À Mennel Ibtissem		191427421448414	Facebook	50_100	50 - 100	FR	France	1	1	15	3	0	0
Solutions Énergétiques de France		146021859351766	Facebook	50_100	50 - 100	FR	France	1	1	3	0	0	0
Gilets jaunes Dreux 28	Andrei Vladimirovitch Goultsev	973394992846401	Facebook	50_100	50 - 100	FR	France	1	1	3	0	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	50_100	50 - 100	FR	France	2	1	2	0	0	0
Uwe Conradt: Saarbrücken - gemeinsam - voran.	CDU Saarbrücken Stadt	577254072692345	Facebook	50_100	50 - 100	FR	France	3	1	1	0	0	0
Barbara Meyer-Gluche	B90/Grüne Saarbrücken	183342321839259	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
Hendrik Bogaert	Bogaert Hendrik Frank	277636928983663	Facebook	50_100	50 - 100	FR	France	2	1	0	0	0	0
Matteo Gagliasso	Matteo Gagliasso	1546887325441954	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
Denis Itxaso	PSE -EE	107905879550963	Facebook	50_100	50 - 100	FR	France	2	1	0	0	0	0
Markel Olano	EAJ-PNV	898191063533170	Facebook	50_100	50 - 100	FR	France	3	1	0	0	0	0
Open Vld	Open Vld	53668151866	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
Wouter Vermeersch	Vlaams Belang	1819099895078637	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
Charis Kamoen	Kamoen Charis Oswald M	207387513240677	Facebook	50_100	50 - 100	FR	France	1	1	0	0	0	0
