advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Marc Lejeune - 3ème au CDH à la Région	Marc Jean-Marie P Lejeune	1115141181990895	Facebook	w018	Week 18	BE	Belgium	6	1	5296	500	326	0
Student.be		198484016852536	Facebook	w018	Week 18	BE	Belgium	1	1	5263	1052	10	0
Phonak		531824256942237	Facebook	w018	Week 18	BE	Belgium	2	1	5146	1029	10	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	99	0
PFF	Gregor Friedrich E Freches	75534801064	Facebook	w018	Week 18	BE	Belgium	2	1	4999	1000	99	0
Wouter Raskin	Nieuw-Vlaams Alliantie 	524807561225921	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	99	0
Toitmat		112247246106896	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	98	0
Jos Lantmeeters	Nieuw-Vlaamse Alliantie	2253398908319094	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	99	0
Olivier Coppens	Olivier Coppens	2086435664734819	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	99	0
Erebunishop	Gevorgyan Armen	379144266143377	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	99	0
Écolojcentre	ECOLOJ Centre	281410879464195	Facebook	w018	Week 18	BE	Belgium	1	1	4999	1000	99	0
Jonge Socialisten		301866806586975	Facebook	w018	Week 18	BE	Belgium	1	1	4992	998	98	0
Eneco Belgium		155682534507894	Facebook	w018	Week 18	BE	Belgium	12	1	4863	1240	155	0
Thomas Geuens	Geuens Thomas	1800565136675003	Facebook	w018	Week 18	BE	Belgium	4	1	4816	818	153	0
PVDA West-Vlaanderen	PVDA	1661103980836335	Facebook	w018	Week 18	BE	Belgium	2	1	4325	865	85	0
MasterClass		687589164666184	Facebook	w018	Week 18	BE	Belgium	1	1	4288	2144	19	3
Alexandra Philippe - DéFI	Alexandra Philippe	2134095363490260	Facebook	w018	Week 18	BE	Belgium	1	1	4285	2142	42	0
Socks For Climate	Van De Velde Arthur V	342842996575193	Facebook	w018	Week 18	BE	Belgium	2	1	4090	818	81	0
Bruno Berrendorf Parti Populaire Verviers		2152919811404296	Facebook	w018	Week 18	BE	Belgium	1	1	3998	799	79	0
Petra De Sutter		372776579930604	Facebook	w018	Week 18	BE	Belgium	2	1	3998	599	158	0
Kim Aluwé	Aluwé Kim Lilianna M	266386214287406	Facebook	w018	Week 18	BE	Belgium	2	1	3747	749	74	0
Miranda Van Eetvelde	Van Eetvelde Miranda Paula A	123242867697182	Facebook	w018	Week 18	BE	Belgium	1	1	3747	749	74	0
TScheldt		682842165445702	Facebook	w018	Week 18	BE	Belgium	1	1	3636	1818	36	0
24Bottles		126060760828576	Facebook	w018	Week 18	BE	Belgium	12	1	3505	512	144	0
I Love Crowdfunding Projects		112683756154005	Facebook	w018	Week 18	BE	Belgium	5	1	3394	1100	23	4
Beci Brussels		408119956043956	Facebook	w018	Week 18	BE	Belgium	6	1	3390	823	90	0
Candidate Raquel Gomes David	Gomes David Raquel	364123120866777	Facebook	w018	Week 18	BE	Belgium	1	1	3333	1666	33	0
Justine Hollevoet	Justine Liliane Hollevoet 	314364712376727	Facebook	w018	Week 18	BE	Belgium	1	1	3333	1666	33	0
Touche Pas A Ma Pote		210583819073654	Facebook	w018	Week 18	BE	Belgium	1	1	3333	666	6	0
Alexander Binon	N-VA Oud-Heverlee	573104879470554	Facebook	w018	Week 18	BE	Belgium	1	1	3332	666	66	0
Frank Vroonen	Vroonen Frank Gert H	372220956948780	Facebook	w018	Week 18	BE	Belgium	1	1	3321	664	65	0
BePax		229203850426658	Facebook	w018	Week 18	BE	Belgium	2	1	3308	1279	45	0
Zeger Debyser-pagina	Debyser Zeger Marie J	202937930480361	Facebook	w018	Week 18	BE	Belgium	1	1	3181	636	63	0
Pascal Masarotti		427056964497572	Facebook	w018	Week 18	BE	Belgium	1	1	3181	636	63	0
Michaël Loriaux		821202844881093	Facebook	w018	Week 18	BE	Belgium	1	1	3124	625	61	0
Rupture & Renouveau		352667488928885	Facebook	w018	Week 18	BE	Belgium	1	1	3124	624	61	0
Sien Vandevelde	Vandevelde Sien Natalie S	1716420288443469	Facebook	w018	Week 18	BE	Belgium	3	1	3013	544	82	0
Comité de soutien "Lionel Pistone"  - élections 2019		2652972174718380	Facebook	w018	Week 18	BE	Belgium	1	1	2916	583	51	0
Camping Clair Matin		597267320442961	Facebook	w018	Week 18	BE	Belgium	2	1	2805	549	11	0
Touche pas à ma planète		2174582836142717	Facebook	w018	Week 18	BE	Belgium	34	1	2800	505	76	2
European Youth		130456876990360	Facebook	w018	Week 18	BE	Belgium	1	1	2754	1377	6	1
Steff Nouws		175452716389521	Facebook	w018	Week 18	BE	Belgium	1	1	2691	538	53	0
Deborah Nyst art events		1403346269807337	Facebook	w018	Week 18	BE	Belgium	1	1	2592	1296	25	0
Comité international de la Croix-Rouge		540364216018969	Facebook	w018	Week 18	BE	Belgium	1	1	2580	1290	1	0
HuisvandeMens Halle		130530167077057	Facebook	w018	Week 18	BE	Belgium	1	1	2499	1250	24	0
Simon De Boeck - 1e schepen Gooik	De Boeck Simon	781750292026149	Facebook	w018	Week 18	BE	Belgium	2	1	2415	333	107	0
Pfizer Belgique Luxembourg		174580985921902	Facebook	w018	Week 18	BE	Belgium	1	1	2333	1166	23	0
ACOD Limburg		880006905441714	Facebook	w018	Week 18	BE	Belgium	1	1	2326	465	46	0
Gaia		182073298490036	Facebook	w018	Week 18	BE	Belgium	5	1	2324	1099	20	8
PajoPower		110375035653012	Facebook	w018	Week 18	BE	Belgium	2	1	2279	400	67	0
European Centre for Romanian Unity		130970050940986	Facebook	w018	Week 18	BE	Belgium	1	1	2266	453	44	0
Minister Harald Mollers		1869992013240347	Facebook	w018	Week 18	BE	Belgium	2	1	2249	375	74	0
Ecolo J LouvainlaNeuve		1403842909933822	Facebook	w018	Week 18	BE	Belgium	1	1	2221	444	44	0
Feminn		1831978070233335	Facebook	w018	Week 18	BE	Belgium	3	1	2182	1034	23	0
Feel Slovenia		144098725952	Facebook	w018	Week 18	BE	Belgium	6	1	2165	653	69	0
European Laurel		322124128611587	Facebook	w018	Week 18	BE	Belgium	1	1	2157	431	4	0
vincent Demonty		893067110891179	Facebook	w018	Week 18	BE	Belgium	1	1	2142	1071	21	0
Gwenaëlle Grovonius Députée PS, 2ème à la Région pour Namur	Géraldine Christine C. Georges	852013494856695	Facebook	w018	Week 18	BE	Belgium	1	1	1999	1000	19	0
PVDA Mechelen	PVDA	173757289363980	Facebook	w018	Week 18	BE	Belgium	1	1	1999	400	39	0
Roel Van Elsacker	Van Elsacker Roel	755735138160727	Facebook	w018	Week 18	BE	Belgium	1	1	1999	400	39	0
I love Mortsel	Vllazeria  Amarildo	331619486900252	Facebook	w018	Week 18	BE	Belgium	2	1	1998	0	198	0
Gabriel Persoons		2267840976823744	Facebook	w018	Week 18	BE	Belgium	1	1	1922	384	38	0
ISNAT asbl		1758988670981113	Facebook	w018	Week 18	BE	Belgium	3	1	1907	0	189	0
André YINDA YINDA - Turquoise		355973298354745	Facebook	w018	Week 18	BE	Belgium	3	1	1907	0	189	0
Tom Bogman	Tom Bogman	329170017640552	Facebook	w018	Week 18	BE	Belgium	2	1	1798	0	178	0
GroenLinks	GroenLinks	175740570505	Facebook	w018	Week 18	BE	Belgium	1	1	1761	352	3	0
Groen Edegem		132812442651	Facebook	w018	Week 18	BE	Belgium	1	1	1666	333	33	0
ВОЛЯ - Българските Родолюбци		317433685633688	Facebook	w018	Week 18	BE	Belgium	1	1	1663	332	2	0
Qendresa Gërlica		220293295232594	Facebook	w018	Week 18	BE	Belgium	1	1	1538	769	15	0
Berlin International University of Applied Sciences		753347444715991	Facebook	w018	Week 18	BE	Belgium	1	1	1518	759	7	1
Climate News Hub	EU News	1640153586244243	Facebook	w018	Week 18	BE	Belgium	2	1	1498	0	148	0
Ebem		310353242487385	Facebook	w018	Week 18	BE	Belgium	2	1	1477	591	19	0
Edmund Stoffels		236209673780454	Facebook	w018	Week 18	BE	Belgium	1	1	1458	291	28	0
Chroniques Du Golfe		2196850910357980	Facebook	w018	Week 18	BE	Belgium	11	1	1405	267	19	0
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	w018	Week 18	BE	Belgium	1	1	1401	280	13	2
Basmah		137973986840264	Facebook	w018	Week 18	BE	Belgium	20	1	1362	289	11	0
YEAD		773528052757141	Facebook	w018	Week 18	BE	Belgium	1	1	1249	250	24	0
Mister Genius Liege		143640509489836	Facebook	w018	Week 18	BE	Belgium	6	1	1248	239	28	0
European Young Leaders - EYL40		227054030686626	Facebook	w018	Week 18	BE	Belgium	2	1	1228	245	2	0
FT Content Solutions		1220981994590364	Facebook	w018	Week 18	BE	Belgium	5	1	1163	279	4	0
Sweco Belgium		370829863001865	Facebook	w018	Week 18	BE	Belgium	1	1	1093	218	21	0
Audrey Henry	Audrey Henry	502988170105713	Facebook	w018	Week 18	BE	Belgium	1	1	1071	214	21	0
Tom De Meester		409051602452966	Facebook	w018	Week 18	BE	Belgium	1	1	1051	525	10	0
Issam Benali	Benali Issam	92011327952	Facebook	w018	Week 18	BE	Belgium	1	1	999	200	19	0
Ecolo au coeur du changement - Province de Liège	Ecolo - province de Liège 	580163825784309	Facebook	w018	Week 18	BE	Belgium	1	1	999	0	99	0
Wim Soons	Soons Wim	598618930329580	Facebook	w018	Week 18	BE	Belgium	1	1	999	0	99	0
Vlaams Belang Zoersel		1644231522509042	Facebook	w018	Week 18	BE	Belgium	1	1	999	0	99	0
Mjs Flemalle		201905843666746	Facebook	w018	Week 18	BE	Belgium	1	1	999	200	19	0
Jan Van Camp	Van Camp Jan Emiel G	240346493197462	Facebook	w018	Week 18	BE	Belgium	1	1	969	193	19	0
Jimmy Koppen		2269528713104353	Facebook	w018	Week 18	BE	Belgium	1	1	908	181	18	0
ABVVTrigion		736375463154904	Facebook	w018	Week 18	BE	Belgium	2	1	899	0	89	0
Guido Vaganee		391476725004619	Facebook	w018	Week 18	BE	Belgium	1	1	895	179	15	0
Ange-Raïssa Uzanziga		1986577834709014	Facebook	w018	Week 18	BE	Belgium	1	1	856	0	84	0
Ine Tombeur	Tombeur Ine	120236914663605	Facebook	w018	Week 18	BE	Belgium	1	1	833	166	16	0
Kenza Yacoubi		193283674572062	Facebook	w018	Week 18	BE	Belgium	1	1	833	166	16	0
Foodpowerr		625107021262384	Facebook	w018	Week 18	BE	Belgium	1	1	815	163	7	1
Talking Europe		316028505828375	Facebook	w018	Week 18	BE	Belgium	2	1	805	390	3	0
La Montre Traceur GPS		2351537601739254	Facebook	w018	Week 18	BE	Belgium	3	1	791	305	10	0
Daan De Veuster	De Veuster Daan Jozef D	1753693034925883	Facebook	w018	Week 18	BE	Belgium	1	1	769	153	15	0
Weekplanner - Structuur en planning oplossingen voor schoolgaande kinderen		336729963116870	Facebook	w018	Week 18	BE	Belgium	1	1	765	153	1	0
éditions markus haller		74203385744	Facebook	w018	Week 18	BE	Belgium	2	1	754	150	1	0
WhyEurope		1790357474516500	Facebook	w018	Week 18	BE	Belgium	2	1	753	150	1	0
CDH Arr. du Centre	CDH - Centre Démocrate Humaniste	180515685456740	Facebook	w018	Week 18	BE	Belgium	1	1	749	0	74	0
Georges-Louis Bouchez		341174129258800	Facebook	w018	Week 18	BE	Belgium	1	1	729	145	14	0
Fjällräven Belgium		405574896861332	Facebook	w018	Week 18	BE	Belgium	2	1	666	0	76	0
Afghanistan, hulp nodig om een schooltje te bouwen.		995671367259188	Facebook	w018	Week 18	BE	Belgium	1	1	635	0	63	0
Jonathan de Patoul - DéFI	Jonathan Daniël S de Patoul	2069381119775596	Facebook	w018	Week 18	BE	Belgium	1	1	624	0	61	0
Andy Pieters		1896823800416784	Facebook	w018	Week 18	BE	Belgium	1	1	624	125	12	0
Boutique Pride		299458774182573	Facebook	w018	Week 18	BE	Belgium	1	1	604	120	6	1
Caritas International.be		318423514835874	Facebook	w018	Week 18	BE	Belgium	2	1	599	100	19	0
Best Tech Crowdfunding Videos		615071652029076	Facebook	w018	Week 18	BE	Belgium	15	1	597	2	51	0
Les Députés les Lobbys et les Truands		411935312720641	Facebook	w018	Week 18	BE	Belgium	1	1	541	271	5	0
Ihh Hollanda Nederland		854050171355294	Facebook	w018	Week 18	BE	Belgium	1	1	505	101	10	0
Vlaams Belang Bilzen	Vlaams Belang	1796765513978532	Facebook	w018	Week 18	BE	Belgium	1	1	499	0	49	0
VIER VOETERS		110540418715	Facebook	w018	Week 18	BE	Belgium	9	1	470	157	7	0
Les amis du Petit Oranger		465797716822921	Facebook	w018	Week 18	BE	Belgium	1	1	466	0	46	0
Gbevile- Enfants De La Vie Asbl		755659637920123	Facebook	w018	Week 18	BE	Belgium	1	1	466	0	41	0
Knack		77629766074	Facebook	w018	Week 18	BE	Belgium	1	1	443	0	43	0
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	w018	Week 18	BE	Belgium	1	1	442	88	3	0
Climate-KIC		403370709744295	Facebook	w018	Week 18	BE	Belgium	1	1	405	202	1	0
Campus protestant		2019076568379648	Facebook	w018	Week 18	BE	Belgium	1	1	366	73	3	0
CD&V Lokeren	Geirnaert Lies Hilda	1042626989219065	Facebook	w018	Week 18	BE	Belgium	1	1	333	0	33	0
Merak nv		1039415686119643	Facebook	w018	Week 18	BE	Belgium	1	1	333	0	33	0
Gregory Lucas		233531184091095	Facebook	w018	Week 18	BE	Belgium	1	1	312	62	6	0
Ecolo Durbuy		1296272377072952	Facebook	w018	Week 18	BE	Belgium	1	1	312	62	6	0
P&V Assurances Verzekeringen		181449658864466	Facebook	w018	Week 18	BE	Belgium	2	1	304	0	30	0
North Sails_Collection		210406252903120	Facebook	w018	Week 18	BE	Belgium	2	1	304	0	30	0
Benjamin Dalle	Benjamin Dalle	232597487340084	Facebook	w018	Week 18	BE	Belgium	1	1	299	0	29	0
Lionel Bajart		416342682225563	Facebook	w018	Week 18	BE	Belgium	1	1	279	0	27	0
DEAD HOPE NY		1424859461068860	Facebook	w018	Week 18	BE	Belgium	2	1	278	112	3	0
N-VA Hooglede Gits		536655126395508	Facebook	w018	Week 18	BE	Belgium	2	1	275	0	27	0
Asbl-FREEDOM		225181031503153	Facebook	w018	Week 18	BE	Belgium	1	1	272	0	27	0
N-VA Geetbets		123174224447926	Facebook	w018	Week 18	BE	Belgium	1	1	268	0	26	0
Guitar Lovers		203855170399686	Facebook	w018	Week 18	BE	Belgium	2	1	266	92	3	0
Wouter Liekens		1136815719832895	Facebook	w018	Week 18	BE	Belgium	1	1	266	0	26	0
Luc Schepens		285177255756453	Facebook	w018	Week 18	BE	Belgium	1	1	249	0	24	0
Motoren en Toerisme		120152299602	Facebook	w018	Week 18	BE	Belgium	1	1	249	0	24	0
Tuunes		992176580926495	Facebook	w018	Week 18	BE	Belgium	4	1	232	95	0	0
Daniel Freund	Bündnis 90 / Die Grünen Kreisverband Aachen	566872987051379	Facebook	w018	Week 18	BE	Belgium	2	1	225	108	1	0
Intersolar		124579277563150	Facebook	w018	Week 18	BE	Belgium	1	1	223	111	0	0
Els Verté	Verté Elsje Martine	421879891957030	Facebook	w018	Week 18	BE	Belgium	1	1	199	0	19	0
Exponea		437489159794764	Facebook	w018	Week 18	BE	Belgium	11	1	199	3	18	0
Incozina - sociaal verzekeringsfonds en ondernemingsloket		1953552758308573	Facebook	w018	Week 18	BE	Belgium	1	1	199	0	19	0
SV4IE		2246467545588430	Facebook	w018	Week 18	BE	Belgium	1	1	195	97	0	0
BuzzyRange		535807280265668	Facebook	w018	Week 18	BE	Belgium	18	1	189	0	21	0
Je Fais Ce que Je dis  et C'est ce qui fera la différence .		893798967476733	Facebook	w018	Week 18	BE	Belgium	1	1	187	0	18	0
Deutschland.de		31292782350	Facebook	w018	Week 18	BE	Belgium	12	1	184	36	3	0
Ceramica.info		1677623205672969	Facebook	w018	Week 18	BE	Belgium	2	1	181	21	9	0
ParaqinOfficial		420328302103021	Facebook	w018	Week 18	BE	Belgium	1	1	171	85	1	0
Charis Kamoen	Kamoen Charis Oswald M	207387513240677	Facebook	w018	Week 18	BE	Belgium	1	1	166	0	16	0
Immigration Spot		210839979532061	Facebook	w018	Week 18	BE	Belgium	4	1	166	50	2	0
Students for Climate Maastricht		287999245216481	Facebook	w018	Week 18	BE	Belgium	2	1	163	78	2	0
Jeunes MR Chaudfontaine	Laurent Marc S Radermecker	1509877552632496	Facebook	w018	Week 18	BE	Belgium	1	1	153	0	15	0
Miyinla		833383303686540	Facebook	w018	Week 18	BE	Belgium	9	1	151	0	13	0
Chug Bottles		1781974005205686	Facebook	w018	Week 18	BE	Belgium	1	1	144	72	0	0
Emin Ozkara		467415843751253	Facebook	w018	Week 18	BE	Belgium	1	1	127	63	1	0
Polis		953676661312241	Facebook	w018	Week 18	BE	Belgium	3	1	125	0	12	0
Banque mondiale		155174084508744	Facebook	w018	Week 18	BE	Belgium	24	1	120	36	2	0
The Sunset		185673788911478	Facebook	w018	Week 18	BE	Belgium	1	1	111	0	11	0
Musicians Against Climate Change		1760259647637432	Facebook	w018	Week 18	BE	Belgium	7	1	105	9	6	0
T-Slim		432791153958836	Facebook	w018	Week 18	BE	Belgium	2	1	100	0	9	0
EDEKA Südwest		334601287018068	Facebook	w018	Week 18	BE	Belgium	2	1	96	19	0	0
AlternaWeb		1928282787425397	Facebook	w018	Week 18	BE	Belgium	2	1	89	11	4	0
Regards protestants		454207341304040	Facebook	w018	Week 18	BE	Belgium	2	1	85	15	2	0
Unis pour les Droits Humains		1642871805813802	Facebook	w018	Week 18	BE	Belgium	1	1	84	16	1	0
Dr. Mohamed Elhachmi Hamdi د. محمد الهاشمي الحامدي		482273315273345	Facebook	w018	Week 18	BE	Belgium	2	1	83	31	0	0
Piraten Bezierk Osten		141480992729926	Facebook	w018	Week 18	BE	Belgium	1	1	80	16	0	0
Jimmy Bastings	Bastings Jimmy Anna Hubertus	2262432790696805	Facebook	w018	Week 18	BE	Belgium	2	1	75	11	2	0
VoteEuropa Nederland	Lacsamana Marlon Toledo	373618906826123	Facebook	w018	Week 18	BE	Belgium	1	1	74	14	0	0
EIT InnoEnergy		344038838945608	Facebook	w018	Week 18	BE	Belgium	6	1	72	24	0	0
Noosworks.com		405566173606704	Facebook	w018	Week 18	BE	Belgium	1	1	70	14	1	0
Get The Trolls Out		858018134275978	Facebook	w018	Week 18	BE	Belgium	1	1	70	35	0	0
S&P Global		112495188784373	Facebook	w018	Week 18	BE	Belgium	7	1	69	14	0	0
La Libelle		766130173557711	Facebook	w018	Week 18	BE	Belgium	1	1	66	0	6	0
ONE		11055104471	Facebook	w018	Week 18	BE	Belgium	1	1	63	12	0	0
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	w018	Week 18	BE	Belgium	2	1	61	30	0	0
YOGA BURN		146316959083110	Facebook	w018	Week 18	BE	Belgium	3	1	61	12	0	0
URCancillería		244098312307848	Facebook	w018	Week 18	BE	Belgium	3	1	56	6	0	0
Coup de pouce pour la planète - Un guide vers une nouvelle vision du monde		363925880862431	Facebook	w018	Week 18	BE	Belgium	1	1	53	10	0	0
Lime Shop Online		790946694613780	Facebook	w018	Week 18	BE	Belgium	10	1	52	8	1	0
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	w018	Week 18	BE	Belgium	13	1	49	15	0	0
Tipu Denis- Marian		512167018972166	Facebook	w018	Week 18	BE	Belgium	1	1	45	22	0	0
Move To Canada Today		234584003764052	Facebook	w018	Week 18	BE	Belgium	1	1	43	0	1	0
THTC - The Hemp Trading Company		30239959348	Facebook	w018	Week 18	BE	Belgium	6	1	41	12	0	0
Human Rights Tattoo		245416135560300	Facebook	w018	Week 18	BE	Belgium	1	1	39	7	0	0
Soviet Visuals		1160495674016675	Facebook	w018	Week 18	BE	Belgium	4	1	37	6	0	0
RSM MBA		110428762358678	Facebook	w018	Week 18	BE	Belgium	3	1	37	18	0	0
Stanford Graduate School of Business		208357009185713	Facebook	w018	Week 18	BE	Belgium	4	1	35	7	0	0
مفوضية اللاجئين		188842724507690	Facebook	w018	Week 18	BE	Belgium	12	1	32	11	0	0
Better Straw		333257970712936	Facebook	w018	Week 18	BE	Belgium	2	1	31	0	2	0
EURACTIV		15299247059	Facebook	w018	Week 18	BE	Belgium	1	1	31	6	0	0
Wildlife Angel		1626338680929107	Facebook	w018	Week 18	BE	Belgium	1	1	30	0	3	0
RIS - Socially RISponsible		378452422967331	Facebook	w018	Week 18	BE	Belgium	2	1	29	1	2	0
Orbex		1415953441956155	Facebook	w018	Week 18	BE	Belgium	1	1	27	5	0	0
UNICEF Europe & Central Asia		373536278864	Facebook	w018	Week 18	BE	Belgium	1	1	27	11	0	0
Routledge Politics, IR and Strategic Studies		59321208735	Facebook	w018	Week 18	BE	Belgium	1	1	26	5	0	0
Council of Europe - Directorate General Human Rights and Rule of Law		315160671967064	Facebook	w018	Week 18	BE	Belgium	2	1	24	7	0	0
Ecosia		177765836610	Facebook	w018	Week 18	BE	Belgium	1	1	21	0	1	0
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	w018	Week 18	BE	Belgium	1	1	16	0	1	0
ETUC		129041250601685	Facebook	w018	Week 18	BE	Belgium	1	1	16	8	0	0
Social Plastic		486324651440186	Facebook	w018	Week 18	BE	Belgium	2	1	15	0	1	0
Veritium		278192613003339	Facebook	w018	Week 18	BE	Belgium	2	1	14	2	0	0
Open Society Foundations		18983389920	Facebook	w018	Week 18	BE	Belgium	4	1	13	1	0	0
YELOPINKO		410164636218216	Facebook	w018	Week 18	BE	Belgium	1	1	13	0	1	0
Minnesota House DFL Campaign	the DFL House Caucus, 255 East Plato Blvd, Saint Paul, MN 55107.	405346683155169	Facebook	w018	Week 18	BE	Belgium	3	1	12	0	1	0
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	w018	Week 18	BE	Belgium	6	1	11	2	0	0
Whimsy Shops		2249890101944751	Facebook	w018	Week 18	BE	Belgium	5	1	10	0	0	0
Greek Energy Forum		225604584315066	Facebook	w018	Week 18	BE	Belgium	2	1	10	2	0	0
Master Chef Universal		279581679340572	Facebook	w018	Week 18	BE	Belgium	1	1	9	1	0	0
Asia Youth International MUN		1418847414842462	Facebook	w018	Week 18	BE	Belgium	1	1	8	0	0	0
Construction Climate Challenge		1421675261420283	Facebook	w018	Week 18	BE	Belgium	2	1	8	1	0	0
Cornel Radu Loghin	RADU-LOGHIN CORNEL	429437337859107	Facebook	w018	Week 18	BE	Belgium	1	1	7	1	0	0
Eldritch Foundry		333726374024339	Facebook	w018	Week 18	BE	Belgium	1	1	7	1	0	0
Intimina		127412964006704	Facebook	w018	Week 18	BE	Belgium	2	1	7	1	0	0
Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	w018	Week 18	BE	Belgium	5	1	6	2	0	0
Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych		137358556439286	Facebook	w018	Week 18	BE	Belgium	1	1	6	1	0	0
Mon Homéo Mon Choix		1643185362449069	Facebook	w018	Week 18	BE	Belgium	5	1	6	2	0	0
Gentle Dental Clinic Crete		387716078000099	Facebook	w018	Week 18	BE	Belgium	2	1	6	0	0	0
Sustainability Times		214303005827359	Facebook	w018	Week 18	BE	Belgium	1	1	5	2	0	0
pro aurum Kilchberg ZH		258246284700914	Facebook	w018	Week 18	BE	Belgium	3	1	5	1	0	0
Official: Uppsala Reggae Festival		754081171435181	Facebook	w018	Week 18	BE	Belgium	1	1	5	1	0	0
Henk Jan Ormel	CDA	823537391322678	Facebook	w018	Week 18	BE	Belgium	1	1	4	0	0	0
EUROPE DIRECT Aachen		106835062686986	Facebook	w018	Week 18	BE	Belgium	1	1	4	0	0	0
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	w018	Week 18	BE	Belgium	9	1	3	0	0	0
DP-Norden	DP-Norden	133967696651305	Facebook	w018	Week 18	BE	Belgium	1	1	3	0	0	0
Jean Claude Manzueto		331265826931063	Facebook	w018	Week 18	BE	Belgium	1	1	3	1	0	0
Psoe Llanes		604271292984767	Facebook	w018	Week 18	BE	Belgium	1	1	3	1	0	0
Alpine Garden Society		239451772739772	Facebook	w018	Week 18	BE	Belgium	1	1	3	1	0	0
Daily News Hungary		568066993228876	Facebook	w018	Week 18	BE	Belgium	1	1	2	0	0	0
Mark Odeke Ministries		1644922305826530	Facebook	w018	Week 18	BE	Belgium	1	1	2	0	0	0
IG BCE Jugend Nordrhein	IG BCE Landesbezirk Nordrhein	124363604315424	Facebook	w018	Week 18	BE	Belgium	1	1	2	1	0	0
Vicenza Pride		208758469330868	Facebook	w018	Week 18	BE	Belgium	1	1	2	0	0	0
Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
ÖDP Nordrhein-Westfalen	Ökologisch-Demokratische Partei (ÖDP) NRW	138480036196810	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
Oxfam Novib		115289021825188	Facebook	w018	Week 18	BE	Belgium	4	1	1	0	0	0
Shurat HaDin - Israel Law Center		709491732434343	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
Femtec		190723057632643	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
La Cimade		176663393102	Facebook	w018	Week 18	BE	Belgium	2	1	1	0	0	0
Daniel C Juster Official		199307546902179	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
Schwarzkopf Professional		150101695010185	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
ExploitsMotivation		639724966206723	Facebook	w018	Week 18	BE	Belgium	1	1	1	0	0	0
Пряка демокрация (direct democracy) - правата и как да си ги вземем		240258259381838	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Off-Road		123971218299531	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Ivan Štefunko • Progresívne Slovensko		1664533523674012	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Seven Clean Seas		425855964577344	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Newired		267979246961885	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Schlachthof Wiesbaden		128431033877314	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Médecins Sans Frontières		154912951193067	Facebook	w018	Week 18	BE	Belgium	2	1	0	0	0	0
Stichting Vluchteling		120034538112114	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Greyhound cafe		68799690218	Facebook	w018	Week 18	BE	Belgium	2	1	0	0	0	0
TaxEduportal		828411763950694	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
350.org		12185972707	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Carrefour		176105152520900	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Mon épargne et moi		201716123952571	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
APMS Engineering		268331613219255	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
ITC's Market Analysis Tools		307619925937720	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Vandebron		263935850440177	Facebook	w018	Week 18	BE	Belgium	1	1	0	0	0	0
Alfa Laval		171132542929029	Facebook	w018	Week 18	BE	Belgium	2	1	0	0	0	0
