age_code_filter	age_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
35_44	35-44	European Parliament		178362315106	Facebook	1211	1	37194341	16784244	218123	55488
35_44	35-44	Podemos	Unidas Podemos	269212336568846	Facebook	318	1	26607687	11814851	161181	42103
35_44	35-44	Ciudadanos	Ciudadanos	74078667754	Facebook	5487	1	24541498	7388377	256502	17228
35_44	35-44	People's Vote UK	People's Vote	748608695327755	Facebook	3425	1	20503748	7156915	265199	48517
35_44	35-44	Kialo		729627343834501	Facebook	744	1	17123698	6884707	117340	29227
35_44	35-44	Partido Popular	Partido Popular	72249031214	Facebook	1296	1	16189316	6146499	92874	13436
35_44	35-44	Britain's Future	Britain's Future	1625300137516491	Facebook	3881	1	13450441	4230055	155262	22947
35_44	35-44	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3489	1	9706618	3326794	140581	18188
35_44	35-44	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	184	1	9553000	4323406	25679	5754
35_44	35-44	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2286	1	8022566	2749630	89337	10390
35_44	35-44	sp.a	sp.a	57253967150	Facebook	305	1	7902976	3210611	33436	7867
35_44	35-44	Conservatives	The Conservative Party	8807334278	Facebook	1923	1	7881647	3063805	85502	11608
35_44	35-44	The Labour Party	The Labour Party	25749647410	Facebook	603	1	7448783	2980373	59175	12551
35_44	35-44	CDU	CDU	78502295414	Facebook	3170	1	7055402	1701055	68250	1536
35_44	35-44	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	80	1	6863200	3087492	14287	4161
35_44	35-44	Best For Britain	Best for Britain	1863944713844924	Facebook	818	1	6352125	2689300	80619	19468
35_44	35-44	Rädda Barnen		72659261793	Facebook	549	1	6250981	1971382	55058	13910
35_44	35-44	PSOE	PSOE	189318235003	Facebook	331	1	5924152	2374182	19441	3654
35_44	35-44	SPD	SPD	47930567748	Facebook	5994	1	5463865	1834521	89471	7131
35_44	35-44	FDP	FDP	21289227249	Facebook	2114	1	5268560	1574556	43408	2272
35_44	35-44	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	109	1	4854428	2001494	11964	2820
35_44	35-44	European Greens	European Greens	141366725876424	Facebook	87	1	4828105	2159699	31866	7957
35_44	35-44	Partito Democratico		77034286895	Facebook	137	1	4816942	2177848	16572	4356
35_44	35-44	Greenpeace France		39435457457	Facebook	129	1	4647791	2079023	22776	5240
35_44	35-44	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	136	1	4624163	2002355	7511	1932
35_44	35-44	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	4575193	2119467	29777	6646
35_44	35-44	România în primul rând	Future Innovation	770704223323599	Facebook	92	1	4260673	1896509	3843	963
35_44	35-44	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	3989917	1896942	7643	3401
35_44	35-44	Kyriakos Mitsotakis		34848567724	Facebook	78	1	3749019	1601144	8946	1883
35_44	35-44	Sosialidemokraatit SDP		108945982480217	Facebook	299	1	3648927	1415924	24096	5696
35_44	35-44	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	104	1	3628857	1554479	32417	7628
35_44	35-44	Un país moderno	Unidas Podemos	577723459314066	Facebook	43	1	3597791	1663392	17013	3809
35_44	35-44	38 Degrees	38 Degrees	200006375787	Facebook	640	1	3539564	1319352	23952	3680
35_44	35-44	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	27	1	3367165	1568802	10199	2491
35_44	35-44	Harald Vilimsky		547597092025909	Facebook	177	1	3361773	1420147	30568	7019
35_44	35-44	European Commission		107898832590939	Facebook	26	1	3223211	1433781	13911	3145
35_44	35-44	Plan International Sverige		382243262003	Facebook	347	1	2873812	956246	24418	5945
35_44	35-44	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	68	1	2784424	1147352	7363	1261
35_44	35-44	SPÖ	SPÖ	77393060080	Facebook	615	1	2715703	907764	20853	2709
35_44	35-44	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	82	1	2687844	1128532	9402	2224
35_44	35-44	Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	130	1	2631802	1099375	11210	1993
35_44	35-44	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	183	1	2621875	1071358	13390	2556
35_44	35-44	Romania #nuepsd	Future Innovation	293215748279337	Facebook	34	1	2618656	1210583	1770	735
35_44	35-44	Greenpeace Deutschland		22541752487	Facebook	478	1	2572096	910778	15633	2166
35_44	35-44	Greenpeace España	Greenpeace España	133044800622	Facebook	163	1	2507990	912655	7726	972
35_44	35-44	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	84	1	2498196	1044325	6131	1158
35_44	35-44	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	2494288	952092	6370	928
35_44	35-44	Save the Children Italia		46590675335	Facebook	45	1	2450378	1075289	9173	2741
35_44	35-44	Patryk Jaki		199877710116314	Facebook	240	1	2426474	961844	11169	2490
35_44	35-44	Venstre, Danmarks Liberale Parti		21465928829	Facebook	331	1	2359919	831534	17578	4337
35_44	35-44	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	95	1	2341241	1108927	9591	2020
35_44	35-44	ČSSD	ČSSD	111041662264882	Facebook	1080	1	2223455	554926	10764	2507
35_44	35-44	Gazeta Wyborcza		63563473556	Facebook	375	1	2181116	703426	4968	776
35_44	35-44	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	450	1	2123071	869890	7758	1585
35_44	35-44	Fidesz	Fidesz	9844779306	Facebook	76	1	2099839	987421	6846	3341
35_44	35-44	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	171	1	2074243	842120	7000	1403
35_44	35-44	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	312	1	2037329	696351	14962	2516
35_44	35-44	The Brexit Party	The Brexit Party	230416667843105	Facebook	90	1	2020571	951928	28506	7996
35_44	35-44	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	194	1	1945513	709147	8177	1078
35_44	35-44	Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	38	1	1939971	863704	4179	825
35_44	35-44	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	640	1	1936371	742115	31430	6268
35_44	35-44	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	137	1	1923747	691286	12581	2811
35_44	35-44	Delphinus		20411877802	Facebook	11	1	1915615	934610	895	114
35_44	35-44	UK government	UK government	408582579294175	Facebook	21	1	1862701	807808	21652	6800
35_44	35-44	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	73	1	1861914	821475	6245	1279
35_44	35-44	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	76	1	1836027	841259	4867	1174
35_44	35-44	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	173	1	1812965	749752	7848	1321
35_44	35-44	Open Vld	Open Vld	53668151866	Facebook	337	1	1764917	643977	13225	2394
35_44	35-44	Médecins du Monde France		265420476920	Facebook	859	1	1761030	591576	24965	2199
35_44	35-44	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	128	1	1684797	605466	3138	1058
35_44	35-44	Andreas Schieder	SPÖ	290881691011354	Facebook	159	1	1679021	556600	13607	2674
35_44	35-44	Save the Children España	Save the Children España	57845333112	Facebook	19	1	1668533	777310	8987	1968
35_44	35-44	Klang der Solidarität		385076005313967	Facebook	88	1	1613735	666113	4165	509
35_44	35-44	Right To Vote	Right to Vote	408236463256774	Facebook	356	1	1608478	413474	13070	2173
35_44	35-44	Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	43	1	1590955	647625	3309	522
35_44	35-44	Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	36	1	1585980	723131	2272	564
35_44	35-44	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	45	1	1575615	696061	982	357
35_44	35-44	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	1568277	632216	7979	2604
35_44	35-44	Instant PPI UK		616112792139038	Facebook	73	1	1559681	583098	15379	3506
35_44	35-44	Referendum Commission		580832208630212	Facebook	24	1	1552409	688567	12197	2572
35_44	35-44	Groen	Groen	84920854319	Facebook	162	1	1546385	536240	8267	1034
35_44	35-44	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	86	1	1538743	649470	10276	2514
35_44	35-44	SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	184	1	1514353	527028	10658	1614
35_44	35-44	Sign for my Future		1345513882259768	Facebook	73	1	1509675	652002	10533	2585
35_44	35-44	La Prime Énergie		336155273400553	Facebook	28	1	1443977	573644	12975	2889
35_44	35-44	Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	60	1	1441511	621540	1752	273
35_44	35-44	Claudia Gamon	NEOS	447992848717452	Facebook	262	1	1418423	496752	8905	1528
35_44	35-44	WeWorld Onlus		299584710061488	Facebook	320	1	1414093	542249	8896	1235
35_44	35-44	Tuxy		870667836405958	Facebook	13	1	1384045	613292	6113	1622
35_44	35-44	Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	186	1	1328047	425248	7507	1181
35_44	35-44	Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	193	1	1321992	387722	9443	46
