advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti		21465928829	Facebook	d110	2019-04-20	DK	Denmark	216	1	186638	49065	972	294
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	d110	2019-04-20	DK	Denmark	17	1	109872	42663	1328	398
Danske Medier	Danske Medier	300107073389986	Facebook	d110	2019-04-20	DK	Denmark	47	1	59689	18207	263	68
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	d110	2019-04-20	DK	Denmark	57	1	47102	16950	392	140
Red Barnet		67571270393	Facebook	d110	2019-04-20	DK	Denmark	51	1	46055	17110	815	213
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	d110	2019-04-20	DK	Denmark	352	1	42450	8504	384	69
Pia Olsen Dyhr	SF	49348971479	Facebook	d110	2019-04-20	DK	Denmark	6	1	41665	9333	361	100
Kialo		729627343834501	Facebook	d110	2019-04-20	DK	Denmark	3	1	38320	15971	332	137
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	d110	2019-04-20	DK	Denmark	3	1	28845	6923	360	72
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	d110	2019-04-20	DK	Denmark	56	1	25630	6648	134	8
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	d110	2019-04-20	DK	Denmark	1	1	24999	12500	334	167
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	d110	2019-04-20	DK	Denmark	4	1	22899	4500	306	60
Karina Lorentzen Dehnhardt	Dehnhardt Karina Lorentzen	116061635098137	Facebook	d110	2019-04-20	DK	Denmark	2	1	19694	4848	64	26
Mia Tang	Mia Tang	358828094665364	Facebook	d110	2019-04-20	DK	Denmark	7	1	16448	3150	228	53
Christel Schaldemose		424159230945271	Facebook	d110	2019-04-20	DK	Denmark	27	1	15514	6000	36	8
Venstres Ungdom - VU	Venstres Ungdom - VU	167412043730	Facebook	d110	2019-04-20	DK	Denmark	2	1	14583	2916	172	36
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	d110	2019-04-20	DK	Denmark	2	1	13924	6962	176	85
Anne Skau Styrishave	Styrishave Anne Skau	1407237706021123	Facebook	d110	2019-04-20	DK	Denmark	5	1	12752	2764	26	5
Claus Hasselmanns - Folketingskandidat		611297145887529	Facebook	d110	2019-04-20	DK	Denmark	12	1	10709	4128	56	14
World Animal Protection Danmark		33588644626	Facebook	d110	2019-04-20	DK	Denmark	5	1	10281	4255	122	27
Kathrine Olldag	Olldag Kathrine	810476755802044	Facebook	d110	2019-04-20	DK	Denmark	7	1	10169	2034	81	16
Torben Overgaard	Nielsen Torben Kirk Overgaard	766828280077855	Facebook	d110	2019-04-20	DK	Denmark	1	1	9999	2000	26	13
Giv Klimaet Lov		445657632847922	Facebook	d110	2019-04-20	DK	Denmark	4	1	9804	3538	169	52
Kim Edberg Andersen	Kim Edberg Andersen-Kristoffersen	533374726861312	Facebook	d110	2019-04-20	DK	Denmark	7	1	8976	2715	50	13
Linea Søgaard-Lidell	Søgaard-Lidell Linea	1002755833225691	Facebook	d110	2019-04-20	DK	Denmark	6	1	8235	1636	15	4
Laura Lindahl	Laura Lindahl	504310436316194	Facebook	d110	2019-04-20	DK	Denmark	12	1	7861	1933	93	18
Folkekirkens Nødhjælp		276770505228	Facebook	d110	2019-04-20	DK	Denmark	40	1	7098	1430	38	10
Simple Feast		571176036346620	Facebook	d110	2019-04-20	DK	Denmark	18	1	6780	1450	78	11
Nordisk Film Biografer		178048215562837	Facebook	d110	2019-04-20	DK	Denmark	3	1	5908	1454	13	2
UNHCR Danmark		924692171033381	Facebook	d110	2019-04-20	DK	Denmark	2	1	5347	2373	71	31
Europa-Parlamentet i Danmark	Europa-Parlamentet i Danmark	128700897207990	Facebook	d110	2019-04-20	DK	Denmark	1	1	4999	1000	13	0
Stine Isaksen, Spidskandidat for Alternativet i Midt- og Vestjylland		1378501112236847	Facebook	d110	2019-04-20	DK	Denmark	2	1	4999	1000	88	0
Mona Juul	Mona Juul	2079067062409423	Facebook	d110	2019-04-20	DK	Denmark	2	1	4791	958	26	5
