advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	1m_10m	1m - 10m	100	1	155933679	15593367	422857	7724
Future Innovation SRL		AR474748779908562944	Google	1m_10m	1m - 10m	57	1	127737185	12773718	382268	6693
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	1m_10m	1m - 10m	106	1	119609350	11960935	292430	5855
AMERISOFT SRL		AR573801583431647232	Google	1m_10m	1m - 10m	82	1	100945477	10094547	28096	957
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	1m_10m	1m - 10m	58	1	70842452	7084245	348141	6115
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	1m_10m	1m - 10m	23	1	52680300	5268030	229686	3853
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	1m_10m	1m - 10m	27	1	50071369	5007136	182574	3180
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	1m_10m	1m - 10m	40	1	42545607	4254560	334444	5649
Freiheitliche Partei Österreich		AR333020356698701824	Google	1m_10m	1m - 10m	21	1	40639088	4063908	187391	15116
Partidul Pro Romania		AR116025139887341568	Google	1m_10m	1m - 10m	61	1	37428084	3742808	22476	689
SOCIALDEMOKRATIET		AR271193993235136512	Google	1m_10m	1m - 10m	70	1	32511252	3251125	446728	7721
Det Konservative Folkeparti		AR40969452518375424	Google	1m_10m	1m - 10m	18	1	32109896	3210989	123572	2147
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	1m_10m	1m - 10m	35	1	29601304	2960130	110628	2157
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	1m_10m	1m - 10m	20	1	28898905	2889890	23681	579
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	1m_10m	1m - 10m	33	1	25186193	2518619	15292	478
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	1m_10m	1m - 10m	17	1	24182764	2418276	81142	1465
NEA DEMOKRATIA		AR351183464155840512	Google	1m_10m	1m - 10m	29	1	23982073	2398207	124174	2282
Popolari per l'Italia		AR406403961759727616	Google	1m_10m	1m - 10m	5	1	20570404	2057040	37438	658
HEADS, s.r.o.		AR356967719951663104	Google	1m_10m	1m - 10m	15	1	19767653	1976765	26751	618
Partido Animalista PACMA		AR145115193901318144	Google	1m_10m	1m - 10m	14	1	19466623	1946662	91884	1585
Sloboda a Solidarita		AR242125929453715456	Google	1m_10m	1m - 10m	50	1	18864550	1886455	27649	973
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	1m_10m	1m - 10m	26	1	15452881	1545288	241426	4023
Občanska demokraticka strana		AR386241117529571328	Google	1m_10m	1m - 10m	12	1	15051512	1505151	19597	453
European Parliament		AR345426421272805376	Google	1m_10m	1m - 10m	46	1	13847379	1384737	246694	4349
SPOLU - občianska demokracia		AR194838133366325248	Google	1m_10m	1m - 10m	20	1	13646701	1364670	98165	1735
