advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vereniging Eigen Huis		371735371563	Facebook	d036	2019-02-05	NL	Netherlands	7	1	107140	43804	735	180
Nacht van de Vluchteling		1637965639787416	Facebook	d036	2019-02-05	NL	Netherlands	6	1	7351	2503	105	1
G10 van de Economie en Filosofie		426663794192518	Facebook	d036	2019-02-05	NL	Netherlands	1	1	5952	1190	59	11
Jeroen Lenaers		316960281776479	Facebook	d036	2019-02-05	NL	Netherlands	5	1	2958	1091	18	5
Deloitte Nederland		319495812163	Facebook	d036	2019-02-05	NL	Netherlands	1	1	1923	384	3	0
Love the Sea		243073559696147	Facebook	d036	2019-02-05	NL	Netherlands	1	1	570	114	10	0
Klang der Solidarität		385076005313967	Facebook	d036	2019-02-05	NL	Netherlands	8	1	268	102	0	0
GUE/NGL		164355333623231	Facebook	d036	2019-02-05	NL	Netherlands	1	1	125	25	2	0
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	d036	2019-02-05	NL	Netherlands	2	1	101	45	1	0
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	d036	2019-02-05	NL	Netherlands	1	1	90	0	8	0
eToro		193863317737	Facebook	d036	2019-02-05	NL	Netherlands	1	1	89	44	0	0
Open Kitchen Market - OKM		801020620004759	Facebook	d036	2019-02-05	NL	Netherlands	1	1	55	0	5	0
Le Monde		14892757589	Facebook	d036	2019-02-05	NL	Netherlands	6	1	50	20	0	0
FT Transact		643057169228509	Facebook	d036	2019-02-05	NL	Netherlands	1	1	26	13	0	0
Global Optimism	Global Optimism	2062802910474026	Facebook	d036	2019-02-05	NL	Netherlands	1	1	24	12	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d036	2019-02-05	NL	Netherlands	1	1	11	5	0	0
Soviet Visuals		1160495674016675	Facebook	d036	2019-02-05	NL	Netherlands	6	1	10	1	0	0
Columbia University in the City of New York		102471088936	Facebook	d036	2019-02-05	NL	Netherlands	2	1	6	2	0	0
Petition For A New Nobel Prize For The Fight Against Climate Change	Helene Costa - Petition For A New Nobel Prize For the Fight Against Climate Change	2412593152099304	Facebook	d036	2019-02-05	NL	Netherlands	10	1	5	0	0	0
CreativeLive		114420101917147	Facebook	d036	2019-02-05	NL	Netherlands	1	1	3	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d036	2019-02-05	NL	Netherlands	2	1	1	0	0	0
Maroš Šefčovič		245361515516655	Facebook	d036	2019-02-05	NL	Netherlands	1	1	1	0	0	0
Harvard Business Review		10423517786	Facebook	d036	2019-02-05	NL	Netherlands	1	1	1	0	0	0
OZY		1393911800825140	Facebook	d036	2019-02-05	NL	Netherlands	1	1	1	0	0	0
Open Society Foundations		18983389920	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
Sacramento Kings		96222644025	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
Mister Genius Liege		143640509489836	Facebook	d036	2019-02-05	NL	Netherlands	2	1	0	0	0	0
Erntekunststoffe Recycling Deutschland ERDE		769565186388057	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
YOGA BURN		146316959083110	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
Andrew Zbik - Lane Cove - Labor		1599877663573922	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
RSM MBA		110428762358678	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
Gherson		422351344832507	Facebook	d036	2019-02-05	NL	Netherlands	1	1	0	0	0	0
Columbia Alumni Association		195421575197	Facebook	d036	2019-02-05	NL	Netherlands	2	1	0	0	0	0
