advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d078	2019-03-19	FR	France	27	1	1268468	608121	6973	1473
Ministère de l'Intérieur		103146727990	Facebook	d078	2019-03-19	FR	France	32	1	197066	82946	1046	245
Paris Première		140770432659757	Facebook	d078	2019-03-19	FR	France	1	1	166638	83319	833	166
Upbility.fr		1671932236393052	Facebook	d078	2019-03-19	FR	France	1	1	99908	49954	498	99
Association Asthme & Allergies		213725725363485	Facebook	d078	2019-03-19	FR	France	2	1	74983	29994	298	49
Energie-Pac.Com		299688247340232	Facebook	d078	2019-03-19	FR	France	3	1	60997	15000	1097	200
LIFE		167060196653670	Facebook	d078	2019-03-19	FR	France	4	1	51232	10247	325	0
2 Min Ecologie		433170297221149	Facebook	d078	2019-03-19	FR	France	1	1	49992	9998	498	99
Lapailleverte		389986798147050	Facebook	d078	2019-03-19	FR	France	1	1	49986	9997	444	88
National Geographic		106750996025532	Facebook	d078	2019-03-19	FR	France	1	1	40174	20087	200	40
Saine Abondance		2106701562887023	Facebook	d078	2019-03-19	FR	France	4	1	29990	11998	395	0
Make.org	Make.org	122037308191612	Facebook	d078	2019-03-19	FR	France	6	1	25942	11581	398	88
Licra		166362530077650	Facebook	d078	2019-03-19	FR	France	1	1	24997	4999	49	0
Agence Isolation Pour Tous		568528630290119	Facebook	d078	2019-03-19	FR	France	10	1	22590	9925	286	76
Surfrider Foundation Europe		41452575362	Facebook	d078	2019-03-19	FR	France	1	1	19998	9999	49	9
Le temps de l'alternative		1375110865964408	Facebook	d078	2019-03-19	FR	France	1	1	16664	8332	166	83
Rue du monde		493422531086028	Facebook	d078	2019-03-19	FR	France	1	1	16661	3332	166	33
Nekisi		2210586769194254	Facebook	d078	2019-03-19	FR	France	10	1	16576	3246	66	0
Le Monde		14892757589	Facebook	d078	2019-03-19	FR	France	6	1	16006	6395	17	2
VeganbottleGo		320828511985253	Facebook	d078	2019-03-19	FR	France	2	1	15593	6237	31	15
L'énergie Solaire		211741889406857	Facebook	d078	2019-03-19	FR	France	3	1	14963	2993	296	0
Musée national de l'histoire de l'immigration		89756927592	Facebook	d078	2019-03-19	FR	France	1	1	14285	7142	71	14
TÊTU		9217671290	Facebook	d078	2019-03-19	FR	France	6	1	13403	2966	34	0
Oshibori Concept		243561463073064	Facebook	d078	2019-03-19	FR	France	4	1	13248	2499	88	0
Un citoyen 2019		415805709187581	Facebook	d078	2019-03-19	FR	France	6	1	12807	5995	256	50
