advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Renault Vitrolles		906274079465498	Facebook	d014	2019-01-14	FR	France	1	1	49999	10000	99	0
Le Monde		14892757589	Facebook	d014	2019-01-14	FR	France	6	1	16006	6395	17	2
Consommez Malin		2045469565728527	Facebook	d014	2019-01-14	FR	France	4	1	7996	1000	396	0
Greenpeace France		39435457457	Facebook	d014	2019-01-14	FR	France	6	1	5993	0	593	0
Make-up Studio Martinique		1629772583807735	Facebook	d014	2019-01-14	FR	France	1	1	2090	418	20	4
Boutique Pride		299458774182573	Facebook	d014	2019-01-14	FR	France	2	1	1790	809	6	1
Albioma		2029944603927727	Facebook	d014	2019-01-14	FR	France	1	1	1780	890	1	0
Droit au logement pour tous		371289150023085	Facebook	d014	2019-01-14	FR	France	1	1	1561	312	3	0
Campus protestant		2019076568379648	Facebook	d014	2019-01-14	FR	France	1	1	1432	286	14	2
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d014	2019-01-14	FR	France	2	1	1406	649	3	0
INFO Littoral Propre		1770131956394016	Facebook	d014	2019-01-14	FR	France	1	1	1249	250	24	0
Simpleaument		2135475463337807	Facebook	d014	2019-01-14	FR	France	2	1	1127	451	4	0
Zapata		142619859661071	Facebook	d014	2019-01-14	FR	France	1	1	868	434	8	0
Sofka Officiel		794971730540455	Facebook	d014	2019-01-14	FR	France	1	1	833	166	16	0
Christian Benedetti / candidat FI européennes 2019		658423227888736	Facebook	d014	2019-01-14	FR	France	1	1	624	124	12	0
By Rose Maria		1512223189099633	Facebook	d014	2019-01-14	FR	France	1	1	465	93	1	0
Plan solaire		2049329408642212	Facebook	d014	2019-01-14	FR	France	15	1	428	120	11	0
Banque mondiale		155174084508744	Facebook	d014	2019-01-14	FR	France	26	1	339	149	2	0
Touche pas à ma planète		2174582836142717	Facebook	d014	2019-01-14	FR	France	3	1	132	0	13	0
Soviet Visuals		1160495674016675	Facebook	d014	2019-01-14	FR	France	9	1	101	22	1	0
Front de Gauche VSG		136014293928282	Facebook	d014	2019-01-14	FR	France	1	1	90	0	8	0
Numérique Solidarités Mobilités Vauréal-Hautil		1556543867738896	Facebook	d014	2019-01-14	FR	France	1	1	83	16	1	0
NUNYO & COMPANY	Nunyo Demasio	221364705166573	Facebook	d014	2019-01-14	FR	France	1	1	59	29	0	0
FT Transact		643057169228509	Facebook	d014	2019-01-14	FR	France	1	1	59	29	0	0
Azil u Srbiji - Centar za zaštitu i pomoć tražiocima azila		181548432005007	Facebook	d014	2019-01-14	FR	France	1	1	31	0	2	0
Soonfeed		214615931960850	Facebook	d014	2019-01-14	FR	France	1	1	19	9	0	0
Professor  Alberto Testa	Alberto Testa	1899667790263172	Facebook	d014	2019-01-14	FR	France	1	1	16	3	0	0
Kheops Développement		1667137763393988	Facebook	d014	2019-01-14	FR	France	1	1	16	8	0	0
FT Content Solutions		1220981994590364	Facebook	d014	2019-01-14	FR	France	2	1	14	2	0	0
Matt Crossfield - Illustrator		613614395496231	Facebook	d014	2019-01-14	FR	France	1	1	8	0	0	0
The Libra Group	The Libra Group	729927510371645	Facebook	d014	2019-01-14	FR	France	1	1	5	0	0	0
Kaar Kaas Sonn		215255338679306	Facebook	d014	2019-01-14	FR	France	2	1	3	1	0	0
OZY		1393911800825140	Facebook	d014	2019-01-14	FR	France	1	1	3	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d014	2019-01-14	FR	France	2	1	2	0	0	0
Danilo Oscar Lancini		247390032110856	Facebook	d014	2019-01-14	FR	France	1	1	2	1	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d014	2019-01-14	FR	France	4	1	2	0	0	0
Fort Financial Services		1504287049805893	Facebook	d014	2019-01-14	FR	France	1	1	1	0	0	0
ExploitsMotivation		639724966206723	Facebook	d014	2019-01-14	FR	France	1	1	1	0	0	0
YOGA BURN		146316959083110	Facebook	d014	2019-01-14	FR	France	2	1	0	0	0	0
COP23		1812087282376505	Facebook	d014	2019-01-14	FR	France	1	1	0	0	0	0
Best Shopping Deals		519091928553063	Facebook	d014	2019-01-14	FR	France	1	1	0	0	0	0
BBC Industries		1327564743933888	Facebook	d014	2019-01-14	FR	France	1	1	0	0	0	0
Gentle Dental Clinic Crete		387716078000099	Facebook	d014	2019-01-14	FR	France	1	1	0	0	0	0
