advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	d120	2019-04-30	HU	Hungary	7	1	793106	389410	2472	1189
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	d120	2019-04-30	HU	Hungary	13	1	403330	167440	977	362
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	d120	2019-04-30	HU	Hungary	9	1	212649	93562	134	44
European Parliament		178362315106	Facebook	d120	2019-04-30	HU	Hungary	3	1	179999	80000	371	185
Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	d120	2019-04-30	HU	Hungary	8	1	165012	70402	316	102
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	d120	2019-04-30	HU	Hungary	73	1	149240	46625	332	120
Vágó Gábor	LMP - Lehet Más a Politika	453253875264	Facebook	d120	2019-04-30	HU	Hungary	7	1	118316	50659	202	57
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	d120	2019-04-30	HU	Hungary	6	1	108416	46683	149	30
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	d120	2019-04-30	HU	Hungary	6	1	107795	45952	162	75
Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	d120	2019-04-30	HU	Hungary	5	1	102254	34736	183	63
Karácsony Gergely	Párbeszéd Magyarországért	193944440638410	Facebook	d120	2019-04-30	HU	Hungary	2	1	83332	36666	103	20
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	d120	2019-04-30	HU	Hungary	8	1	81660	30652	159	66
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	d120	2019-04-30	HU	Hungary	2	1	72678	29196	46	22
Z. Kárpát Dániel	Országgyűlés Hivatala Jobbik Frakció	208726209161904	Facebook	d120	2019-04-30	HU	Hungary	3	1	72023	35476	114	53
Bana Tibor	Országgyűlés Hivatala Jobbik Frakció	184890488198962	Facebook	d120	2019-04-30	HU	Hungary	4	1	67389	29313	71	34
PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	d120	2019-04-30	HU	Hungary	3	1	58332	11666	180	36
MSZP	MSZP	115388925185513	Facebook	d120	2019-04-30	HU	Hungary	7	1	56942	13055	35	13
Dr. Molnár Csaba	Demokratikus Koalíció	306318386058001	Facebook	d120	2019-04-30	HU	Hungary	3	1	51999	20400	65	15
Dr. Tóth Bertalan	MSZP	1425355697692924	Facebook	d120	2019-04-30	HU	Hungary	4	1	37936	10314	103	24
