advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	u13_17	unknown (13-17)	DK	Denmark	18	1	854	400	4	0
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	u13_17	unknown (13-17)	DK	Denmark	13	1	758	242	8	1
Giv Klimaet Lov		445657632847922	Facebook	u13_17	unknown (13-17)	DK	Denmark	6	1	470	115	6	1
Alternativet	Alternativet	676061179094769	Facebook	u13_17	unknown (13-17)	DK	Denmark	3	1	453	202	6	1
NUance	VisionPilot	185168072363292	Facebook	u13_17	unknown (13-17)	DK	Denmark	5	1	421	89	1	0
Venstres Ungdom - VU	Venstres Ungdom - VU	167412043730	Facebook	u13_17	unknown (13-17)	DK	Denmark	5	1	420	84	1	0
Kathrine Olldag	Olldag Kathrine	810476755802044	Facebook	u13_17	unknown (13-17)	DK	Denmark	18	1	416	91	2	0
Rune Frøding	Frøding Rune	493940517678048	Facebook	u13_17	unknown (13-17)	DK	Denmark	1	1	277	138	0	0
Tiltspot.tv		907012016119940	Facebook	u13_17	unknown (13-17)	DK	Denmark	1	1	218	43	0	0
Liberal Alliances Ungdom	Liberal Alliances Ungdom	107893513382	Facebook	u13_17	unknown (13-17)	DK	Denmark	6	1	209	52	0	0
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	u13_17	unknown (13-17)	DK	Denmark	26	1	182	53	0	0
Konservativ Ungdom	Konservativ Ungdom	119769598101853	Facebook	u13_17	unknown (13-17)	DK	Denmark	5	1	165	33	0	0
Spektrum		1015747061925428	Facebook	u13_17	unknown (13-17)	DK	Denmark	2	1	155	31	0	0
Jacob Mark	SF	69985338410	Facebook	u13_17	unknown (13-17)	DK	Denmark	1	1	108	21	0	0
The Trevor Project		24470472733	Facebook	u13_17	unknown (13-17)	DK	Denmark	1	1	105	42	0	0
Danmarks Socialdemokratiske Ungdom (DSU)	DSU	126084211821	Facebook	u13_17	unknown (13-17)	DK	Denmark	4	1	97	36	0	0
U.S. Embassy Denmark		298461170736	Facebook	u13_17	unknown (13-17)	DK	Denmark	1	1	92	18	0	0
Oatly		214112085661044	Facebook	u13_17	unknown (13-17)	DK	Denmark	1	1	92	37	0	0
Europa-Parlamentet i Danmark	Europa-Parlamentet i Danmark	128700897207990	Facebook	u13_17	unknown (13-17)	DK	Denmark	8	1	85	25	0	0
Inger Staahl Jensen i Europa-Parlamentet		586553418054920	Facebook	u13_17	unknown (13-17)	DK	Denmark	10	1	68	9	0	0
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	u13_17	unknown (13-17)	DK	Denmark	3	1	67	16	0	0
Sine Olsson Heltberg	Olsson Sine Orgaard	400691640097383	Facebook	u13_17	unknown (13-17)	DK	Denmark	10	1	62	16	0	0
Marianne Bigum	Bigum Marianne Kristine Kjaergaard	213461659232038	Facebook	u13_17	unknown (13-17)	DK	Denmark	4	1	54	10	0	0
Radikale Venstre	Radikale Venstre	12458150929	Facebook	u13_17	unknown (13-17)	DK	Denmark	3	1	53	11	0	0
Ole Lynggaard Jørgensen Radikal folketingskandidat		297280080474770	Facebook	u13_17	unknown (13-17)	DK	Denmark	4	1	44	8	0	0
