advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace Belgium	Greenpeace Belgium	73232790238	Facebook	u25_34	unknown (25-34)	BE	Belgium	8	1	1261	264	4	0
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	u25_34	unknown (25-34)	BE	Belgium	33	1	996	294	5	0
Vlaams Belang	Vlaams Belang	56605856504	Facebook	u25_34	unknown (25-34)	BE	Belgium	7	1	858	423	13	4
Open Vld	Open Vld	53668151866	Facebook	u25_34	unknown (25-34)	BE	Belgium	25	1	696	233	5	0
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	u25_34	unknown (25-34)	BE	Belgium	2	1	689	261	6	1
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	u25_34	unknown (25-34)	BE	Belgium	3	1	561	239	8	1
CD&V	CD&V	52997544531	Facebook	u25_34	unknown (25-34)	BE	Belgium	4	1	438	189	2	0
Peter Mertens	PVDA	236485149843971	Facebook	u25_34	unknown (25-34)	BE	Belgium	7	1	392	183	2	0
PS Région bruxelloise	PS Région bruxelloise	279112515484034	Facebook	u25_34	unknown (25-34)	BE	Belgium	4	1	311	76	3	0
Pascal Smet	one.brussels	148221008918941	Facebook	u25_34	unknown (25-34)	BE	Belgium	2	1	300	60	0	0
CDH liste à la Chambre province de Liège	CDH - Centre Démocrate Humaniste	268478507423505	Facebook	u25_34	unknown (25-34)	BE	Belgium	4	1	263	52	0	0
Sébastien de Jonge	De Jonge Sébastien Edouard	370249413831637	Facebook	u25_34	unknown (25-34)	BE	Belgium	1	1	242	48	2	0
sp.a	sp.a	57253967150	Facebook	u25_34	unknown (25-34)	BE	Belgium	3	1	188	66	0	0
Peter Van Kemseke	Van Kemseke Peter Leo S	397455370285369	Facebook	u25_34	unknown (25-34)	BE	Belgium	2	1	130	26	1	0
BirdLife Europe and Central Asia	BirdLife Europe and Central Asia	174656216277326	Facebook	u25_34	unknown (25-34)	BE	Belgium	2	1	128	25	0	0
Barbara Pas	Vlaams Belang	365242667182267	Facebook	u25_34	unknown (25-34)	BE	Belgium	1	1	127	63	0	0
European Parliament	European Parliament	178362315106	Facebook	u25_34	unknown (25-34)	BE	Belgium	2	1	118	23	1	0
Yannick de Wilde d'Estmael	Yannick de Wilde d'Estmael 	2194262913922415	Facebook	u25_34	unknown (25-34)	BE	Belgium	1	1	116	23	0	0
John Crombez	sp.a	264131406977201	Facebook	u25_34	unknown (25-34)	BE	Belgium	3	1	112	22	0	0
CD&V Oostkamp	CD&V Oostkamp	2062142307347631	Facebook	u25_34	unknown (25-34)	BE	Belgium	1	1	100	50	0	0
Maggie De Block	Maggie De Block	1410219772556421	Facebook	u25_34	unknown (25-34)	BE	Belgium	13	1	84	14	2	0
Geert Bourgeois	Nieuw-Vlaamse Alliantie	649429725077632	Facebook	u25_34	unknown (25-34)	BE	Belgium	1	1	78	39	0	0
PTB	PTB	53838654385	Facebook	u25_34	unknown (25-34)	BE	Belgium	1	1	76	15	0	0
Jos D'Haese	PVDA	1397002987227704	Facebook	u25_34	unknown (25-34)	BE	Belgium	4	1	61	13	0	0
Rudi Vervoort		75793785999	Facebook	u25_34	unknown (25-34)	BE	Belgium	2	1	55	12	3	0
