advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Dan Boyle - Green Party/ Comhaontas Glas Candidate, Cork City South Central		359145628246402	Facebook	d034	2019-02-03	IE	Ireland	3	1	1555	311	26	0
People Before Profit - Waterford		291521767725059	Facebook	d034	2019-02-03	IE	Ireland	1	1	1249	250	24	0
Maryon Stewart	Maryon Stewart	520049428097815	Facebook	d034	2019-02-03	IE	Ireland	2	1	1160	567	9	1
Azil u Srbiji - Centar za zaštitu i pomoć tražiocima azila		181548432005007	Facebook	d034	2019-02-03	IE	Ireland	2	1	986	194	3	0
Neasa Hourigan Green Party		1353131934798813	Facebook	d034	2019-02-03	IE	Ireland	1	1	624	125	12	0
Dude Dad		154100984604961	Facebook	d034	2019-02-03	IE	Ireland	2	1	283	141	8	1
Sean Kelly MEP		340786422717552	Facebook	d034	2019-02-03	IE	Ireland	1	1	161	32	3	0
FT Transact		643057169228509	Facebook	d034	2019-02-03	IE	Ireland	1	1	125	62	0	0
OZY		1393911800825140	Facebook	d034	2019-02-03	IE	Ireland	1	1	39	7	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d034	2019-02-03	IE	Ireland	1	1	36	18	0	0
Le Monde		14892757589	Facebook	d034	2019-02-03	IE	Ireland	6	1	34	13	0	0
Vadim Rotari		516538278845787	Facebook	d034	2019-02-03	IE	Ireland	1	1	23	4	0	0
Milaap		315603771494	Facebook	d034	2019-02-03	IE	Ireland	1	1	12	2	0	0
Soviet Visuals		1160495674016675	Facebook	d034	2019-02-03	IE	Ireland	6	1	11	2	0	0
Maroš Šefčovič		245361515516655	Facebook	d034	2019-02-03	IE	Ireland	2	1	10	2	0	0
e-Visa Immigration Services		817903978281401	Facebook	d034	2019-02-03	IE	Ireland	1	1	10	2	0	0
Columbia University in the City of New York		102471088936	Facebook	d034	2019-02-03	IE	Ireland	1	1	9	3	0	0
The Free Markets Series on PBS Affiliates		322535364513656	Facebook	d034	2019-02-03	IE	Ireland	1	1	7	0	0	0
Andrew Zbik - Lane Cove - Labor		1599877663573922	Facebook	d034	2019-02-03	IE	Ireland	2	1	4	1	0	0
CreativeLive		114420101917147	Facebook	d034	2019-02-03	IE	Ireland	1	1	4	0	0	0
YOGA BURN		146316959083110	Facebook	d034	2019-02-03	IE	Ireland	1	1	3	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d034	2019-02-03	IE	Ireland	2	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	d034	2019-02-03	IE	Ireland	2	1	0	0	0	0
Sacramento Kings		96222644025	Facebook	d034	2019-02-03	IE	Ireland	1	1	0	0	0	0
Erntekunststoffe Recycling Deutschland ERDE		769565186388057	Facebook	d034	2019-02-03	IE	Ireland	1	1	0	0	0	0
