advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FDP	FDP	21289227249	Facebook	bremen	Bremen	DE	Germany	448	1	145358	2071	13580	0
FDP Bremen	FDP Bremen	152934608113175	Facebook	bremen	Bremen	DE	Germany	15	1	34985	5000	1485	0
Partei der Humanisten Bremen	Axel Börold	1477347775705985	Facebook	bremen	Bremen	DE	Germany	1	1	999	0	99	0
SPD Oberneuland	SPD Oberneuland	1638965259687442	Facebook	bremen	Bremen	DE	Germany	1	1	999	0	99	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	bremen	Bremen	DE	Germany	55	1	449	82	14	0
European Parliament	European Parliament	178362315106	Facebook	bremen	Bremen	DE	Germany	1	1	188	94	0	0
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	bremen	Bremen	DE	Germany	22	1	117	46	0	0
Party of the European Left	Franziska Laskowski	160598290012	Facebook	bremen	Bremen	DE	Germany	1	1	101	40	0	0
Europäisches Parlament - Verbindungsbüro in Deutschland	Europäisches Parlament - Verbindungsbüro in Deutschland	294494163510	Facebook	bremen	Bremen	DE	Germany	2	1	69	34	0	0
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	bremen	Bremen	DE	Germany	34	1	51	3	3	0
Junge Liberale JuLis	Junge Liberale	110976485656573	Facebook	bremen	Bremen	DE	Germany	2	1	24	4	0	0
CDU	CDU	78502295414	Facebook	bremen	Bremen	DE	Germany	11	1	24	1	1	0
ver.di	la red	252085013582	Facebook	bremen	Bremen	DE	Germany	1	1	23	11	0	0
DIE LINKE	DIE LINKE	47694585682	Facebook	bremen	Bremen	DE	Germany	4	1	21	5	0	0
Jusos in der SPD	Jusos in der SPD	40415227476	Facebook	bremen	Bremen	DE	Germany	2	1	18	3	0	0
MENSCHLICHE WELT	Menschliche Welt	245758938922923	Facebook	bremen	Bremen	DE	Germany	7	1	16	4	0	0
PARTEI MENSCH UMWELT TIERSCHUTZ	PARTEI MENSCH UMWELT TIERSCHUTZ	108568039165729	Facebook	bremen	Bremen	DE	Germany	6	1	12	2	0	0
SPD	SPD	47930567748	Facebook	bremen	Bremen	DE	Germany	12	1	12	1	0	0
Arbeitgeberverband Gesamtmetall	Arbeitgeberverband Gesamtmetall	169367889785454	Facebook	bremen	Bremen	DE	Germany	8	1	9	1	0	0
Monika Hohlmeier	Monika Hohlmeier	139065632780165	Facebook	bremen	Bremen	DE	Germany	1	1	8	1	0	0
Katarina Barley	SPD	1522202731410785	Facebook	bremen	Bremen	DE	Germany	12	1	8	1	0	0
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	bremen	Bremen	DE	Germany	4	1	6	1	0	0
European Free Alliance	European Free Alliance	46708306425	Facebook	bremen	Bremen	DE	Germany	2	1	6	1	0	0
SPD-Bundestagsfraktion	SPD-Bundestagsfraktion	144380008933707	Facebook	bremen	Bremen	DE	Germany	1	1	6	1	0	0
Bayernpartei	Bayernpartei	78309442751	Facebook	bremen	Bremen	DE	Germany	1	1	4	0	0	0
