advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d083	2019-03-24	DE	Germany	25	1	189210	79321	1543	483
Bundesregierung		768905426534529	Facebook	d083	2019-03-24	DE	Germany	1	1	166666	66666	1666	333
Covestro		150793518281117	Facebook	d083	2019-03-24	DE	Germany	5	1	134569	59155	128	34
Privatinvestor Politik Spezial		414014872673187	Facebook	d083	2019-03-24	DE	Germany	9	1	84734	36329	519	201
TOMS		290301287805503	Facebook	d083	2019-03-24	DE	Germany	4	1	57818	22074	346	84
Sommeruniversität der Friedrich-Ebert-Stiftung		122835944458099	Facebook	d083	2019-03-24	DE	Germany	1	1	49890	19956	49	9
DIE LINKE	DIE LINKE	47694585682	Facebook	d083	2019-03-24	DE	Germany	2	1	29166	5833	191	33
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	d083	2019-03-24	DE	Germany	6	1	29137	7324	230	0
Jugendrotkreuz Westfalen-Lippe		112828982094715	Facebook	d083	2019-03-24	DE	Germany	2	1	27086	11404	113	19
Berliner Stadtwerke	Berliner Stadtwerke	765844936882239	Facebook	d083	2019-03-24	DE	Germany	1	1	23809	9523	238	47
TalentRocket		375241642555673	Facebook	d083	2019-03-24	DE	Germany	7	1	21764	9647	87	11
Siedler Verlag		545921772214198	Facebook	d083	2019-03-24	DE	Germany	4	1	21009	7569	61	11
Klang der Solidarität		385076005313967	Facebook	d083	2019-03-24	DE	Germany	32	1	20656	9163	68	15
Ansaar International e.V.		354608017990902	Facebook	d083	2019-03-24	DE	Germany	1	1	20050	10025	100	20
Landtag Rheinland-Pfalz	Landtag Rheinland-Pfalz	1339267256128796	Facebook	d083	2019-03-24	DE	Germany	1	1	16666	3333	166	33
γυρίζουμε		278308089460720	Facebook	d083	2019-03-24	DE	Germany	3	1	15739	6403	137	27
SamiTags		1617154575072366	Facebook	d083	2019-03-24	DE	Germany	3	1	14699	3487	69	0
INJOY Limeshain		142494922478911	Facebook	d083	2019-03-24	DE	Germany	21	1	13272	3333	113	0
Team Streetwork		192657121354553	Facebook	d083	2019-03-24	DE	Germany	2	1	12749	2500	49	0
Open Doors Deutschland		182704598535	Facebook	d083	2019-03-24	DE	Germany	1	1	12564	2513	24	0
Nachhaltiger leben in Berlin		349902658926430	Facebook	d083	2019-03-24	DE	Germany	1	1	12499	2500	124	25
Laut gegen Nazis		53848679944	Facebook	d083	2019-03-24	DE	Germany	2	1	12499	2499	124	24
Missionszentrale der Franziskaner e.V.		192530900757422	Facebook	d083	2019-03-24	DE	Germany	1	1	12488	2497	124	24
Kialo		729627343834501	Facebook	d083	2019-03-24	DE	Germany	2	1	12113	5422	106	3
Aurora Prize		1413803418918630	Facebook	d083	2019-03-24	DE	Germany	2	1	11504	2889	34	0
