advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	5k_10k	5k - 10k	34	1	93894046	9389404	201625	3360
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	5k_10k	5k - 10k	39	1	74957099	7495709	231275	3854
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	5k_10k	5k - 10k	24	1	63452608	6345260	142323	2372
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	5k_10k	5k - 10k	39	1	60546834	6054683	231275	3854
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	5k_10k	5k - 10k	37	1	31508865	3150886	219415	3656
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	5k_10k	5k - 10k	29	1	25657783	2565778	171974	2866
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	5k_10k	5k - 10k	25	1	22892356	2289038	148253	2470
Freiheitliche Partei Österreich		AR333020356698701824	Google	5k_10k	5k - 10k	21	1	17316038	1731603	124533	2075
SOCIALDEMOKRATIET		AR271193993235136512	Google	5k_10k	5k - 10k	57	1	15003280	1500328	338018	5633
Det Konservative Folkeparti		AR40969452518375424	Google	5k_10k	5k - 10k	11	1	14627704	1462770	65231	1087
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	5k_10k	5k - 10k	13	1	10931243	1093124	77091	1284
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	5k_10k	5k - 10k	7	1	10278927	1027892	41511	691
NEA DEMOKRATIA		AR351183464155840512	Google	5k_10k	5k - 10k	12	1	9488240	948824	71161	1186
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	5k_10k	5k - 10k	26	1	8697553	869755	154183	2569
Partido Animalista PACMA		AR145115193901318144	Google	5k_10k	5k - 10k	9	1	7116180	711618	53371	889
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	5k_10k	5k - 10k	13	1	5949917	594991	77091	1284
Popolari per l'Italia		AR406403961759727616	Google	5k_10k	5k - 10k	3	1	5930150	593015	17790	296
Párbeszéd Magyarországért		AR567356246269624320	Google	5k_10k	5k - 10k	3	1	5930150	593015	17790	296
