advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	u55_64	unknown (55-64)	PT	Portugal	1	1	268	107	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	u55_64	unknown (55-64)	PT	Portugal	1	1	106	53	0	0
SPEA - Sociedade Portuguesa para o Estudo das Aves	SPEA - Sociedade Portuguesa para o Estudo das Aves	152559446094	Facebook	u55_64	unknown (55-64)	PT	Portugal	2	1	33	9	0	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	u55_64	unknown (55-64)	PT	Portugal	4	1	15	4	0	0
European Commission	European Commission	107898832590939	Facebook	u55_64	unknown (55-64)	PT	Portugal	2	1	14	7	0	0
Erasmus+ Juventude em Ação	Erasmus+ Juventude em Ação	128362563891037	Facebook	u55_64	unknown (55-64)	PT	Portugal	2	1	11	3	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	u55_64	unknown (55-64)	PT	Portugal	2	1	6	1	0	0
Uniarea	Uniarea	413110028708018	Facebook	u55_64	unknown (55-64)	PT	Portugal	1	1	3	1	0	0
Sandra x Tomiño	Bloque Nacionalista Galego de Tomiño	623179161441345	Facebook	u55_64	unknown (55-64)	PT	Portugal	1	1	0	0	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	u55_64	unknown (55-64)	PT	Portugal	1	1	0	0	0	0
